================ Training Loss (Tue Jun 23 10:50:23 2026) ================
(epoch: 670, iters: 1, time: 0.044) lr_pixelwise: 191670.281 rec: 322966.906 rec_orthg: 22525.258 msi_pixelwise: 131296.625 manifold: 87.210 manifold_spa: 12804.269 msi_ss_msi: 123355.656 msi_ss_lr: 33703.539 lrmsi_pixelwise: 2253.794 joint: 361423.469 
(epoch: 680, iters: 1, time: 0.038) lr_pixelwise: 191607.953 rec: 322918.812 rec_orthg: 22343.223 msi_pixelwise: 131310.844 manifold: 87.896 manifold_spa: 13030.525 msi_ss_msi: 128827.766 msi_ss_lr: 33796.695 lrmsi_pixelwise: 2237.785 joint: 361748.250 
(epoch: 690, iters: 1, time: 0.042) lr_pixelwise: 191417.250 rec: 322726.688 rec_orthg: 22265.729 msi_pixelwise: 131309.438 manifold: 88.574 manifold_spa: 13250.236 msi_ss_msi: 122935.625 msi_ss_lr: 33779.543 lrmsi_pixelwise: 1867.461 joint: 360850.656 
(epoch: 700, iters: 1, time: 0.037) lr_pixelwise: 191467.844 rec: 322742.562 rec_orthg: 22887.232 msi_pixelwise: 131274.719 manifold: 89.354 manifold_spa: 13456.541 msi_ss_msi: 115767.523 msi_ss_lr: 33820.922 lrmsi_pixelwise: 1995.421 joint: 360788.156 
(epoch: 710, iters: 1, time: 0.036) lr_pixelwise: 191282.688 rec: 322537.375 rec_orthg: 22369.102 msi_pixelwise: 131254.688 manifold: 90.034 manifold_spa: 13677.666 msi_ss_msi: 111970.617 msi_ss_lr: 33893.867 lrmsi_pixelwise: 3785.545 joint: 359871.469 
(epoch: 720, iters: 1, time: 0.044) lr_pixelwise: 191021.719 rec: 322259.469 rec_orthg: 22396.527 msi_pixelwise: 131237.750 manifold: 90.776 manifold_spa: 13888.039 msi_ss_msi: 105836.297 msi_ss_lr: 33898.203 lrmsi_pixelwise: 2245.975 joint: 358854.062 
(epoch: 730, iters: 1, time: 0.044) lr_pixelwise: 190856.438 rec: 322031.562 rec_orthg: 22367.479 msi_pixelwise: 131175.109 manifold: 91.376 manifold_spa: 14066.246 msi_ss_msi: 120507.047 msi_ss_lr: 33881.992 lrmsi_pixelwise: 2812.900 joint: 360119.219 
(epoch: 740, iters: 1, time: 0.036) lr_pixelwise: 191658.000 rec: 322725.688 rec_orthg: 22076.516 msi_pixelwise: 131067.688 manifold: 92.817 manifold_spa: 14318.131 msi_ss_msi: 107083.609 msi_ss_lr: 33844.594 lrmsi_pixelwise: 2832.533 joint: 359178.250 
(epoch: 750, iters: 1, time: 0.045) lr_pixelwise: 190828.406 rec: 321869.750 rec_orthg: 22181.326 msi_pixelwise: 131041.344 manifold: 95.700 manifold_spa: 14626.283 msi_ss_msi: 114447.750 msi_ss_lr: 33972.750 lrmsi_pixelwise: 1845.194 joint: 359077.625 
(epoch: 760, iters: 1, time: 0.044) lr_pixelwise: 190441.562 rec: 321509.812 rec_orthg: 21452.105 msi_pixelwise: 131068.266 manifold: 97.988 manifold_spa: 14875.543 msi_ss_msi: 130208.984 msi_ss_lr: 34066.562 lrmsi_pixelwise: 1741.435 joint: 359563.594 
